trial_id,algorithm,final_energy,success_flag,paradox_activity
0,Monte_Carlo,-6.404600185784274,False,0
1,Monte_Carlo,-7.293570021639658,False,0
2,Monte_Carlo,-6.19323604665903,False,0
3,Monte_Carlo,-4.967758201028764,False,0
4,Monte_Carlo,-7.42781472461267,False,0
5,Monte_Carlo,-7.427791739728852,False,0
6,Monte_Carlo,-4.889102058289652,False,0
7,Monte_Carlo,-6.0255913791859275,False,0
8,Monte_Carlo,-7.757264140308933,False,0
9,Monte_Carlo,-6.340415938979649,False,0
10,Monte_Carlo,-7.748784769937447,False,0
11,Monte_Carlo,-7.75202165499836,False,0
12,Monte_Carlo,-6.761252819807552,False,0
13,Monte_Carlo,-9.778592342520916,True,0
14,Monte_Carlo,-9.514884965518245,True,0
15,Monte_Carlo,-7.887202540937361,False,0
16,Monte_Carlo,-8.517963568468193,False,0
17,Monte_Carlo,-6.660053734366616,False,0
18,Monte_Carlo,-8.371233705729695,False,0
19,Monte_Carlo,-9.077225181869407,False,0
20,Monte_Carlo,-5.048091723509824,False,0
21,Monte_Carlo,-7.41608682068115,False,0
22,Monte_Carlo,-7.005460513436907,False,0
23,Monte_Carlo,-9.09464746069884,False,0
24,Monte_Carlo,-7.8621358143352555,False,0
25,Monte_Carlo,-6.944708374406187,False,0
26,Monte_Carlo,-8.711391008391223,False,0
27,Monte_Carlo,-6.574022774316059,False,0
28,Monte_Carlo,-7.940894165886327,False,0
29,Monte_Carlo,-7.508371249710587,False,0
30,Monte_Carlo,-7.942389257121155,False,0
31,Monte_Carlo,-4.5068105416874875,False,0
32,Monte_Carlo,-7.118896114633107,False,0
33,Monte_Carlo,-8.58079530053826,False,0
34,Monte_Carlo,-5.948437123055535,False,0
35,Monte_Carlo,-8.80918110995943,False,0
36,Monte_Carlo,-6.807590966993342,False,0
37,Monte_Carlo,-9.843538173431686,True,0
38,Monte_Carlo,-8.959460468457802,False,0
39,Monte_Carlo,-6.824394269783227,False,0
40,Monte_Carlo,-6.066146788006425,False,0
41,Monte_Carlo,-6.860084406334041,False,0
42,Monte_Carlo,-7.261907595343536,False,0
43,Monte_Carlo,-7.521545173825004,False,0
44,Monte_Carlo,-9.169930786514398,False,0
45,Monte_Carlo,-8.107781891752591,False,0
46,Monte_Carlo,-7.744894279343702,False,0
47,Monte_Carlo,-5.620028883293518,False,0
48,Monte_Carlo,-6.618934394604154,False,0
49,Monte_Carlo,-9.568256217507827,True,0
